,_updated_by,232_type_of_store,184_store_devices,103_number_own_fridges,310_burnout,24_burnout,272_card_days_receive_money,193_sales_planning_tools,62_frequency_only_services,77_delivery_timeslots,44_willingness_inventory_management_suppliers,45_willingness_reorder_suppliers,46_willingness_reorder_suppliers_variety,279_changes_procurement_pandemic,157_frequency_organize_shelves,161_actions_stockouts,162_inventory_extra_space,250_technology_investment_operations,251_technology_investment_customers,254_technology_roadmap
0,Salomon Abdala Perez,Tailor,POS system (i.e. computer + bar code scanner + printer),--,no,--,--,Software especializado,--,--,--,--,--,--,Semestralmente,Solicitar tiempo al cliente para conseguir el producto,0,--,--,--
1,Salomon Abdala Perez,Grocery store (aka. nanostore),Dataphone (i.e. card payments),--,no,--,--,--,--,--,--,--,--,--,--,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",10%,--,--,--
2,Salomon Abdala Perez,Grocery store (aka. nanostore),"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer)",--,no,--,0.0,--,--,--,--,--,--,--,Semanalmente,Perder la venta,10%,--,--,--
3,Salomon Abdala Perez,Grocery store (aka. nanostore),POS system (i.e. computer + bar code scanner + printer),--,no,--,0.0,Ninguna,--,--,--,--,--,--,Semanalmente,Ofrecer un producto sustituto,0,--,--,--
4,Salomon Abdala Perez,Grocery store (aka. nanostore),Smartphone,--,no,--,1.0,--,--,--,--,--,--,--,Mensualmente,"Informar al proveedor,Solicitar tiempo al cliente para conseguir el producto",0,--,--,--
5,Salomon Abdala Perez,Cafeteria,"Dataphone (i.e. card payments),Security cameras,Smartphone",1.0,no,--,1.0,--,--,--,--,--,--,--,Diariamente,Ofrecer un producto sustituto,40%,--,--,--
6,Salomon Abdala Perez,Technology Store,Smartphone,--,no,--,--,--,--,--,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,--,Semanalmente,Solicitar tiempo al cliente para conseguir el producto,20%,--,--,--
7,Salomon Abdala Perez,Grocery store (aka. nanostore),"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Smartphone",--,no,--,1.0,Software especializado,--,--,--,--,--,--,Semanalmente,"Informar al proveedor,Solicitar tiempo al cliente para conseguir el producto",20%,--,--,--
8,Salomon Abdala Perez,Retailer store,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Smartphone",--,no,--,1.0,--,--,--,--,--,--,--,Semanalmente,Solicitar tiempo al cliente para conseguir el producto,20%,--,--,--
9,Salomon Abdala Perez,Grocery store (aka. nanostore),Smartphone,--,no,--,--,Ninguna,--,--,--,--,--,--,Diariamente,Solicitar tiempo al cliente para conseguir el producto,0,--,--,--
10,Ángel Francisco Altamirano Campos,Grocery store (aka. nanostore),"POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",--,no,--,--,Ninguna,--,--,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,--,Diariamente,"Informar al proveedor,Ofrecer un producto sustituto",40%,En desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo
11,Ángel Francisco Altamirano Campos,internet ,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",--,no,--,1.0,"Aplicación móvil,Software especializado",--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Quincenalmente,Solicitar tiempo al cliente para conseguir el producto,0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
12,Ángel Francisco Altamirano Campos,Ferretería ,"Analog cash register,Smartphone",--,no,--,0.0,Ninguna,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Quincenalmente,Solicitar tiempo al cliente para conseguir el producto,0,De acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo
13,Ángel Francisco Altamirano Campos,Butcher shop,Smartphone,--,no,--,--,Ninguna,--,--,Totalmente en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,--,Nunca,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo
14,Ángel Francisco Altamirano Campos,Micro-restaurant (aka. fondita),Smartphone,--,no,--,--,Ninguna,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Diariamente,Ofrecer un producto sustituto,20%,De acuerdo,De acuerdo,Totalmente en desacuerdo
15,Ángel Francisco Altamirano Campos,Dulceria ,"POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",--,no,--,--,--,--,--,Totalmente en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,--,Semanalmente,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",10%,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo
16,Ángel Francisco Altamirano Campos,Pet store,"Security cameras,Smartphone",--,yes,4.0,0.0,Software especializado,--,--,Totalmente en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",10%,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
17,Ángel Francisco Altamirano Campos,Micro-restaurant (aka. fondita),Smartphone,2.0,no,--,--,Ninguna,2.0,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,Ofrecer un producto sustituto,0,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo
18,Ángel Francisco Altamirano Campos,Micro-restaurant (aka. fondita),Smartphone,--,yes,3.0,--,Cuaderno,--,--,--,--,--,--,Diariamente,Ofrecer un producto sustituto,0,De acuerdo,De acuerdo,De acuerdo
19,Ángel Francisco Altamirano Campos,Cosmetiquera ,"Security cameras,Smartphone",--,yes,4.0,--,Ninguna,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,--,Diariamente,"Informar al proveedor,Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",30%,Totalmente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
20,Sandra Carreón,Dairy products,"Analog cash register,Smartphone",--,no,--,--,Cuaderno,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Disminuir la cantidad del pedido,Semanalmente,Informar al proveedor,0,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo
21,Hiram Jiménez,Grocery store (aka. nanostore),Dataphone (i.e. card payments),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,Hiram Jiménez,Grocery store (aka. nanostore),"Analog cash register,Dataphone (i.e. card payments)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,Hiram Jiménez,Butcher shop,"Analog cash register,Smartphone",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,Hiram Jiménez,Grocery store (aka. nanostore),Analog cash register,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,Hiram Jiménez,Grocery store (aka. nanostore),Smartphone,--,no,--,--,--,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,--,--,Semanalmente,Informar al proveedor,--,En desacuerdo,--,--
26,Hiram Jiménez,Grocery store (aka. nanostore),Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,Harry Hernández,Grocery store (aka. nanostore),"Security cameras,Smartphone",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,Harry Hernández,Grocery store (aka. nanostore),Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,Harry Hernández,Grocery store (aka. nanostore),Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,Harry Hernández,Butcher shop,Security cameras,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,Harry Hernández,Grocery store (aka. nanostore),Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,Harry Hernández,Butcher shop,Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,Harry Hernández,Grocery store (aka. nanostore),Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,Ismael López,Cafeteria,"Analog cash register,Dataphone (i.e. card payments),Security cameras",0.0,yes,3.0,1.0,Ninguna,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ninguna de las anteriores,Semanalmente,Solicitar tiempo al cliente para conseguir el producto,0,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo
35,José Zapata,Micro-restaurant (aka. fondita),Smartphone,--,yes,5.0,--,Ninguna,--,--,--,--,--,--,Nunca,Perder la venta,0,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo
36,Azael Mendoza,Micro-restaurant (aka. fondita),Smartphone,3.0,yes,3.0,3.0,Cuaderno,--,--,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,--,Semanalmente,Ofrecer un producto sustituto,20%,Totalmente de acuerdo,De acuerdo,De acuerdo
37,Azael Mendoza,Planchaduria,Smartphone,--,yes,5.0,--,Ninguna,--,--,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Aumentar la variedad de productos.,Diariamente,Ofrecer un producto sustituto,30%,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
38,Manuel Flores,Ginecología,Papel y celular,--,no,--,--,Cuaderno,2.0,--,--,--,--,--,--,--,--,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo
39,Manuel Flores,Salón de eventos,Smartphone,--,no,--,--,Other,4.0,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,--,Nunca,Solicitar tiempo al cliente para conseguir el producto,0,De acuerdo,De acuerdo,Totalmente en desacuerdo
40,José Zapata,Micro-restaurant (aka. fondita),Smartphone,--,yes,1.0,--,Cuaderno,--,--,Algo en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,--,Semanalmente,"Descuento,Ofrecer un producto sustituto",50% +,De acuerdo,De acuerdo,Totalmente en desacuerdo
41,José Zapata,Grocery store (aka. nanostore),"Security cameras,Smartphone",0.0,yes,7.0,--,Cuaderno,7.0,--,Algo de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,"Informar al proveedor,Perder la venta",50% +,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo
42,José Zapata,Micro-restaurant (aka. fondita),Smartphone,--,yes,6.0,--,Mental,--,--,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",No se tiene,Perder la venta,30%,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo
43,José Zapata,Panadería ,"Analog cash register,POS system (i.e. computer + bar code scanner + printer),Security cameras",--,no,--,--,Por temporada de pan,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Diariamente,Ofrecer un producto sustituto,50% +,De acuerdo,De acuerdo,Totalmente en desacuerdo
44,Sandra Carreón,Grocery store (aka. nanostore),POS system (i.e. computer + bar code scanner + printer),7.0,no,--,--,Sobre demanda ,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Semanalmente,Informar al proveedor,10%,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo
45,Sandra Carreón,Grocery store (aka. nanostore),POS system (i.e. computer + bar code scanner + printer),--,no,--,1.0,Ninguna,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Diariamente,Informar al proveedor,30%,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo
46,Ricardo Galindo Bulos,Grocery store (aka. nanostore),"Analog cash register,Smartphone",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
47,Alan Bravo,Dairy products,"Dataphone (i.e. card payments),Smartphone",--,yes,3.0,3.0,Ninguna,2.0,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,Solicitar tiempo al cliente para conseguir el producto,10%,De acuerdo,De acuerdo,Totalmente de acuerdo
48,Alan Bravo,Micro-restaurant (aka. fondita),"Security cameras,bocina y ventilador",1.0,yes,7.0,1.0,Cuaderno,28.0,--,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,--,Diariamente,"Ofrecer un producto sustituto,Perder la venta",10%,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo
49,Alan Bravo,hules,POS system (i.e. computer + bar code scanner + printer),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
50,Alan Bravo,cosmetiquera ,"POS system (i.e. computer + bar code scanner + printer),bocina y pesa",--,no,--,1.0,Cuaderno,--,--,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,--,Semanalmente,Solicitar tiempo al cliente para conseguir el producto,20%,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo
51,Jorge Mason,Cafeteria,"Dataphone (i.e. card payments),Smartphone",2.0,yes,2.0,2.0,Cuaderno,0.0,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Diariamente,Ofrecer un producto sustituto,50% +,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo
52,Emilio Garza,Grocery store (aka. nanostore),Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
53,Francisco Adán,objetos ,Smartphone,--,yes,3.0,1.0,Excel,1.0,--,Totalmente en desacuerdo,Algo en desacuerdo,Algo de acuerdo,--,Semanalmente,Solicitar tiempo al cliente para conseguir el producto,20%,De acuerdo,--,--
54,Francisco Adán,muebles,Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
55,José Oropeza,Clothing,Analog cash register,--,no,--,--,Cuaderno,--,--,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,--,Semanalmente,Ofrecer un producto sustituto,20%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
56,Emilio Garza,Handmade products ,Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
57,Emilio Garza,Rock store,"POS system (i.e. computer + bar code scanner + printer),Smartphone",--,no,--,--,"Cuaderno,Excel",--,--,--,--,--,--,Semanalmente,Solicitar tiempo al cliente para conseguir el producto,0,--,--,--
58,Francisco Adán,ropa,Analog cash register,--,no,--,0.0,Cuaderno,--,--,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,--,Semanalmente,Solicitar tiempo al cliente para conseguir el producto,10%,De acuerdo,De acuerdo,--
59,Francisco Adán,objetos ,Security cameras,--,no,--,1.0,Cuaderno,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Semanalmente,Solicitar tiempo al cliente para conseguir el producto,50% +,--,--,--
60,Emilio Garza,Handmade & typical candy store ,"POS system (i.e. computer + bar code scanner + printer),Smartphone",--,no,--,--,"Excel,Software especializado",--,--,Totalmente en desacuerdo,Algo de acuerdo,Algo de acuerdo,--,Semanalmente,Perder la venta,--,--,--,--
61,Emilio Garza,Handmade products ,"POS system (i.e. computer + bar code scanner + printer),Smartphone",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
62,Emilio Garza,Sports,Smartphone,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
63,Emilio Garza,Copias y servicio computadoras  ,"POS system (i.e. computer + bar code scanner + printer),Smartphone",--,yes,--,--,Excel,2.0,--,Totalmente en desacuerdo,Algo de acuerdo,--,Disminuir la frecuencia de pedidos,--,--,--,--,--,--
64,Emilio Garza,Objetos tradicionales,"Analog cash register,POS system (i.e. computer + bar code scanner + printer)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
65,Mauro Munguía,joyeria,no tiene,--,no,--,1.0,Ninguna,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Quincenalmente,apuntar,0,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo
66,Mauro Munguía,dulceria,no,0.0,no,--,--,Ninguna,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Semanalmente,Perder la venta,20%,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo
67,Mauro Munguía,Ropa,Analog cash register,--,yes,1.0,1.0,Cuaderno,--,--,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,Ofrecer un producto sustituto,10%,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo
68,Mauro Munguía,ropa deportiva,"Analog cash register,Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",--,no,--,1.0,Cuaderno,100.0,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Semanalmente,Solicitar tiempo al cliente para conseguir el producto,10%,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo
69,Jorge Mason,Micro-restaurant (aka. fondita),"Dataphone (i.e. card payments),Security cameras,Smartphone",2.0,no,--,1.0,Ninguna,--,--,--,--,--,--,--,--,--,--,--,--
70,Jorge Mason,Cafeteria,"Dataphone (i.e. card payments),Security cameras,Smartphone",5.0,no,--,1.0,Software especializado,50.0,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,--,Quincenalmente,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",30%,Totalmente de acuerdo,De acuerdo,En desacuerdo
71,Ricardo Galindo Bulos,Ferretería,"Analog cash register,Security cameras,Smartphone",--,no,--,--,"Cuaderno,Ninguna",--,--,--,Algo de acuerdo,Totalmente en desacuerdo,--,Diariamente,"Informar al proveedor,Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",10%,De acuerdo,De acuerdo,En desacuerdo
72,Ricardo Galindo Bulos,Grocery store (aka. nanostore),Smartphone,2.0,no,--,--,"Cuaderno,Ninguna",--,--,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,--,Diariamente,"Informar al proveedor,Solicitar tiempo al cliente para conseguir el producto",--,--,--,--
73,José Zapata,Papelería ,"Analog cash register,POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",--,no,--,--,Ninguna,5.0,Tarde (12:00 - 7:00 pm),Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Disminuir la cantidad del pedido,Semanalmente,"Informar al proveedor,Solicitar tiempo al cliente para conseguir el producto",10%,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
74,José Zapata,Grocery store (aka. nanostore),ninguno,--,no,--,--,Ninguna,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Mensualmente,"Informar al proveedor,Ofrecer un producto sustituto",0,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo
75,José Zapata,floristería ,no cuenta con dispositivos ,--,yes,6.0,--,Ninguna,0.0,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Diariamente,Perder la venta,20%,En desacuerdo,En desacuerdo,Totalmente en desacuerdo
76,José Zapata,Papelería ,"POS system (i.e. computer + bar code scanner + printer),Smartphone",--,yes,7.0,1.0,Catálogo ,0.0,--,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,Informar al proveedor,30%,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
